NAME, RAJ, DECJ
J1549-5722, 15:49:47.9, -57:22:02
J1550-5242, 15:50:02.95, -52:42:07.0
J1551-4424, 15:51:48.02, -44:24:42
J1555-0515, 15:55:40.097, -05:15:57.4
J1555-3134, 15:55:17.952, -31:34:20.10
J1557-4258, 15:57:00.2580, -42:58:12.66
J1559-4438, 15:59:41.526126, -44:38:45.901778
J1603-2531, 16:03:04.8253, -25:31:47.9
J1603-3539, 16:03:53.697, -35:39:57.1
J1604-7203, 16:04:29.177, -72:03:30.46
J1605-5257, 16:05:16.265, -52:57:34.80
J1607-0032, 16:07:12.0598, -00:32:41.527
J1609-4616, 16:09:41.13, -46:16:22.5
J1611-5209, 16:11:03.37, -52:09:22.13
J1612+2008, 16:12:23.432, 20:08:18.33
J1612-5805, 16:12:27.816, -58:05:29.2
J1613-4714, 16:13:29.018, -47:14:26.41
J1614+0737, 16:14:40.90540245, +07:37:31.01035985
J1615-5444, 16:15:01.191, -54:44:32.4
J1622-4332, 16:22:45.468, -43:32:28.2
J1622-4347, 16:22:30.060, -43:47:21.4
J1623-0908, 16:23:17.6599, -09:08:48.733
J1625-4048, 16:25:10.33, -40:48:21.5
J1626-4537, 16:26:48.98, -45:37:25.6
J1626-6621, 16:26:06.851, -66:21:15.27
J1627+1419, 16:27:18.759, +14:19:20.7
J1627-5547, 16:27:21.08, -55:47:52.4
J1627-5936, 16:27:52.59, -59:36:55.3
J1632-1013, 16:32:54.20, -10:13:18
J1632-4621, 16:32:49.813, -46:21:48.6
J1633-4453, 16:33:47.048, -44:53:07.8
J1633-5015, 16:33:00.0861, -50:15:08.358
J1634-5640, 16:34:19.17, -56:40:48.7
J1635-4944, 16:35:55.4, -49:44:36
J1635-5954, 16:35:09.08, -59:54:41
J1636-2614, 16:36:11.506, -26:14:47.0
J1638-3815, 16:38:37.349, -38:15:03.4
J1638-4344, 16:38:52.88, -43:44:04
J1638-5226, 16:38:59.96, -52:26:57.4
J1645+1012, 16:45:34.415, +10:12:16.04
J1645-0317, 16:45:02.0406, -03:17:57.819
J1646-5123, 16:46:36.35, -51:23:14.6
J1646-6831, 16:46:54.91, -68:31:51.7
J1648-6044, 16:48:51.23, -60:44:25.5
J1649-4349, 16:49:20.42, -43:49:22.2
J1650-1654, 16:50:27.1694, -16:54:42.282
J1651-1709, 16:51:31.75206773, -17:09:22.11348209
